phase,accuracy,loss,val_accuracy,val_loss
epoch_1,0.4954893887042999,1.8478134870529175,0.8335588574409485,0.5516139268875122
epoch_2,0.775823175907135,0.7056501507759094,0.8694181442260742,0.42359963059425354
epoch_3,0.8373928666114807,0.5021279454231262,0.8667117953300476,0.4213259220123291
epoch_4,0.8608480095863342,0.4323488473892212,0.8700947165489197,0.4119403064250946
epoch_5,0.8707712888717651,0.3889569938182831,0.8707712888717651,0.39670610427856445
epoch_6,0.8901668787002563,0.33716675639152527,0.8802435994148254,0.3766038417816162
epoch_7,0.9005412459373474,0.294294536113739,0.8863328695297241,0.3744414746761322
epoch_8,0.8987370133399963,0.29435303807258606,0.884303092956543,0.36383357644081116
epoch_9,0.9122688174247742,0.2551669478416443,0.8876860737800598,0.3807826340198517
epoch_10,0.9136220216751099,0.26336777210235596,0.877537190914154,0.3814007341861725
test,0.8836265206336975,0.36853206157684326,,
